Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (kg),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Altallama,New Quantity Altallama,Stock Alert Enabled Altallama,Stock Alert Count Altallama,Tax - Impuesto escolar (4%),Tax - impuesto ventas (21%)
2I2QBBOOUTMJ4VA7DSU74MZ6,CANSON_ACUARELA GVARRO_50X70_GRANO GRUESO,,Normal,,239267R,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,N,N,N,Y,3.80,,N,,N,,N,,,17,,,,N,Y
HGF5VRVK3C3EEPSGYS5H42OF,CANSON_ACUARELA GVARRO_50X70_GRANO MEDIO,,Normal,,X282138,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,N,N,N,Y,3.80,,N,,N,,N,,,30,,,,N,Y
4AT2T2WMDFZKWHC4EN5EQGGF,CANSON_BLOC ESBOZO_A3,,Normal,,241635H,,Blocs y Cuadernos > Blocs y Cuadernos,Blocs y Cuadernos > Blocs y Cuadernos,,,,3148950056016,visible,Physical good,,,,N,N,N,Y,16.30,,N,,N,,N,,,3,,,,N,Y
YNNSAHMEHVI76NMYO3K5EU5L,CANSON_BLOC ESBOZO_A4,,Normal,,P157512,,Blocs y Cuadernos > Blocs y Cuadernos,Blocs y Cuadernos > Blocs y Cuadernos,,,,3148950056009,visible,Physical good,,,,N,N,N,Y,9.65,,N,,N,,N,,,5,,,,N,Y
OSYX5BPDF6L7BXVDHN6HAGNO,CANSON_C A GRAIN_A3_HOJA SUELTA,,Normal,,672860X,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,visible,Physical good,,,,,,,Y,0.50,,N,,N,,N,,,,,,,N,Y
G2G4CB77GS3TWFQ2RKDKZXEY,CANSON_CARTULINA IRIS_50X60_Verde metálico,,Normal,,6106136,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,4,,,,N,Y
SUOOXRERLV72BT4NEM5MEFGV,CANSON_CARTULINA IRIS_50X60_Verde pino_Canson,,Normal,,431045K,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,16,,,,N,Y
Y4ORO4BDBMQTBWKI3WM7AQDP,CANSON_CARTULINA IRIS_50X60_amarillo flúoR,,Normal,,236425B,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,207,,,,N,Y
D5KHADKJMDORQCHXRB6VEZQG,CANSON_CARTULINA IRIS_50X60_amarillo oro,,Normal,,216751E,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,9,,,,N,Y
VIZCEKYNHZ2KWMS7XWKMR2BO,CANSON_CARTULINA IRIS_50X60_azul mar,,Normal,,G445956,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,14,,,,N,Y
BJLXNLGAGNGDFRDZLFLQFR34,CANSON_CARTULINA IRIS_50X60_azul marino,,Normal,,P090512,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,42,,,,N,Y
KSYRWGX5RHRY2US3XQWYSHQ5,CANSON_CARTULINA IRIS_50X60_azul metálico,,Normal,,3026371,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,1,,,,N,Y
MRVAXVYN6WT2H36MMN5V5RES,CANSON_CARTULINA IRIS_50X60_azul nº26,,Normal,,353957L,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,4,,,,N,Y
LYRCRZBNC5RVYJANMO77MTCV,CANSON_CARTULINA IRIS_50X60_azul oscuro,,Normal,,9392076,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,17,,,,N,Y
EVZNURTZD7VDQOCPGYZKMOD2,CANSON_CARTULINA IRIS_50X60_azul polar,,Normal,,C157367,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,50,,,,N,Y
ABUQJKOIQOXR5X6ND3EM3MEM,CANSON_CARTULINA IRIS_50X60_blanco,,,,J212322,Material artístico de calidad para uso profesional y educativo.,"Papel y Soportes, Papel y Soportes > Cartulinas y cartón",Papel y Soportes,,,,3148950120229,,Physical good,,,,N,N,N,N,0.80,,N,,N,,N,,,12,,,,N,Y
U7TBB6KQQEAJFDS7FB5Z7UC3,CANSON_CARTULINA IRIS_50X60_canario,,Normal,,941597L,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,16,,,,N,Y
HOC7IJHEMRHLNUVYG3I43KX5,CANSON_CARTULINA IRIS_50X60_fucsia,,Normal,,3433344,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,14,,,,N,Y
N5J755QE4BML6TGSHI2HDXA3,CANSON_CARTULINA IRIS_50X60_gris Plomo,,Normal,,C336872,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,25,,,,N,Y
SOQREKDQDWGHXR6NI2LB4P54,CANSON_CARTULINA IRIS_50X60_gris perla,,Normal,,M899359,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,8,,,,N,Y
Y3ONZUZ3AWCLQAT2SYSZWJZR,CANSON_CARTULINA IRIS_50X60_lila,,Normal,,604326N,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,-1,,,,N,Y
KRJVIXQB7AGEJTTSTJE7JNGC,CANSON_CARTULINA IRIS_50X60_naranja,,Normal,,376789H,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,46,,,,N,Y
2U4IW7UCBLVSLKFB65TCKBWR,CANSON_CARTULINA IRIS_50X60_naranja intenso,,Normal,,534858N,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,98,,,,N,Y
KM44WH3KXVIXP6H3SRGKNKTF,CANSON_CARTULINA IRIS_50X60_negro_Canson,,Normal,,7230626,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,50,,,,N,Y
GDJYDBI3JFKFAFSAISKXHUDD,CANSON_CARTULINA IRIS_50X60_ocre,,Normal,,L639937,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,58,,,,N,Y
VEDMZF5NH44WFC5D5TTNABV7,CANSON_CARTULINA IRIS_50X60_plata,,Normal,,K295084,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,15,,,,N,Y
K776AK6E2SA65URVSDXXPWEY,CANSON_CARTULINA IRIS_50X60_rojo,,Normal,,3211633,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,35,,,,N,Y
VJCNGDZ3ON2OIKBFYFDXAIKV,CANSON_CARTULINA IRIS_50X60_rosa,,Normal,,Z416501,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,20,,,,N,Y
M2EY3SOZW3ODEQGU3RAZYKB4,CANSON_CARTULINA IRIS_50X60_rosa flúor,,Normal,,338711V,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,8,,,,N,Y
DANPYFXR7L7U7D56NYU2UEEM,CANSON_CARTULINA IRIS_50X60_tomate,,Normal,,Z456915,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,24,,,,N,Y
ZUVHT7L4COWR6BJ2NGM4PHOY,CANSON_CARTULINA IRIS_50X60_vainilla,,Normal,,V437777,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,16,,,,N,Y
SNVFVVONSMOTYINAE6H4QSB5,CANSON_CARTULINA IRIS_50X60_verde abeto,,Normal,,816174M,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,22,,,,N,Y
HVZLEV24IFUQT5ZYAOCKEESZ,CANSON_CARTULINA IRIS_50X60_verde intenso,,Normal,,8526633,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,7,,,,N,Y
VPOL3CNH27DSKUMQDSDO2QKL,CANSON_CARTULINA IRIS_50X60_verde manzana,,Normal,,731628B,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,28,,,,N,Y
ADTDQHXRNDHG7RIUGGXJNGNK,CANSON_CARTULINA IRIS_50X60_violeta_Canson,,Normal,,L444498,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,18,,,,N,Y
BHM3NEDNJC5RY54VYPI7JCIJ,CANSON_CARTULINA IRIS_5X60_cuero,,Normal,,649720E,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.80,,N,,N,,N,,,19,,,,N,Y
YGSOHAFURJ4KPAYXXVT3DLYZ,CANSON_DIBUJO BASIK_A4_10 HOJAS,,Normal,,N492771,,Blocs y Cuadernos > Blocs y Cuadernos,Blocs y Cuadernos > Blocs y Cuadernos,,,,3148950025425,visible,Physical good,,,,N,N,N,Y,6.25,,N,,N,,N,,,9,,,,N,Y
EEQGS4HZDOCQT2OC27JAPQNO,CANSON_DIBUJO LINEAL_A4_10 HOJAS,,10 feuilles,,906128K,"Le papier Canson 409784 Marca Mayor est un papier de haute qualité idéal pour les artistes et les amateurs d'art. Ce paquet contient 10 feuilles de papier de la marque Mayor, offrant une surface lisse et durable pour vos créations artistiques. Parfait pour une variété de techniques artistiques, ce papier Canson est un choix fiable pour donner vie à vos idées créatives.","Papel y Soportes, Papel y Soportes > Papel de dibujo y boceto",Papel y Soportes,,,,8422714097848,,Physical good,,,,N,N,N,Y,3.60,,N,,N,,N,,,3,,,,N,Y
JC5AQP45LSHHZE5GAAHWZHPN,CANSON_GRADUATE_A3_HOJA SUELTA,,Normal,,Y250826,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,visible,Physical good,,,,N,N,N,Y,0.40,,N,,N,,N,,,,,,,N,Y
XRD7DTYSVYGPAU7ZJE2ELO7L,CANSON_GRADUATE_A4_CUADERNO,,Normal,,648122H,,Blocs y Cuadernos > Blocs y Cuadernos,Blocs y Cuadernos > Blocs y Cuadernos,,,,3148950021199,visible,Physical good,,,,,,,Y,7.00,,N,,N,,N,,,1,,,,N,Y
4UE6RDD5L55GURC6A44RRRJT,CANSON_GRADUATE_A5_CUADERNO GRAPA LATERAL,,Normal,,8639331,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,3148950084767,,Physical good,,,,N,N,N,Y,2.50,,N,,N,,N,,,1,,,,N,Y
Z5XE6CZSVEOOLBB2EPWXYRGN,CANSON_GRADUATE_A5_SKETCHBOOK_HORIZONTAL,,Normal,,4673385,,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148950079275,,Physical good,,,,,,,Y,8.00,,N,,N,,N,,,0,,,,N,Y
46ZURXHST4JOKAQK5CCDK7PR,CANSON_GRADUATE_A5_SKETCHBOOK_VERTICAL,,Estándar,,W984357,,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148950079237,visible,Physical good,,,,N,N,N,Y,8.00,,N,,N,,N,,,-1,,,,N,Y
QWXZVWGV3FBY7BP7E4YSSYIC,CANSON_GRADUATE_PAPEL VEGETAL_CUADERNO,,Normal,,6369134,,"Blocs y Cuadernos, Blocs y Cuadernos > Papel de calco y calcamoid",Blocs y Cuadernos,,,,3148950060839,,Physical good,,,,N,N,N,Y,10.50,,N,,N,,N,,,2,,,,N,Y
36TJ4G2IAVK6EV727KHS6UST,CANSON_GVARRO ACUARELA_A4_GRANO FINO_CUADERNO,,Normal,,1613157,,Blocs y Cuadernos > Blocs y Cuadernos,Blocs y Cuadernos > Blocs y Cuadernos,,,,8422714010007,visible,Physical good,,,,N,N,N,Y,19.90,,N,,N,,N,,,7,,,,N,Y
LC5L66NIZAOBMRKFX3CL62Q6,CANSON_GVARRO ACUARELA_A4_GRANO FINO_HOJA,,Normal,,3221415,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,N,N,N,Y,1.10,,N,,N,,N,,,76,,,,N,Y
4Z7YH7W6JLSHEWUIKU2XHM4M,CANSON_IMAGINE_A3_CUADERNO,,Normal,,E780080,,Blocs y Cuadernos > Blocs y Cuadernos,Blocs y Cuadernos > Blocs y Cuadernos,,,,3148950060075,visible,Physical good,,,,N,N,N,Y,17.10,,N,,N,,N,,,0,,Y,7,N,Y
6DRLGSHILT5S742CS537ETH5,CANSON_IMAGINE_A3_HOJA SUELTA,,Normal,,928240P,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,N,N,N,Y,0.30,,N,,N,,N,,,0,,,,N,Y
WQTYOPGDYFI2SWS2W7Y6TVU3,CANSON_IMAGINE_A4_CUADERNO,,Normal,,7384605,,Blocs y Cuadernos > Blocs y Cuadernos,Blocs y Cuadernos > Blocs y Cuadernos,,,,3148950060082,visible,Physical good,,,,,,,Y,8.60,,N,,N,,N,,,10,,,,N,Y
P2AE3LFRB4TQPIIGQBFH32PX,CANSON_IMAGINE_A4_HOJA SUELTA,,Normal,,220226J,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,0.25,,N,,N,,N,,,,,,,Y,Y
64UVLGVJ554BDAUGYLTELHUG,CANSON_IMAGINE_A5_CUADERNO,,Normal,,H194777,,Blocs y Cuadernos > Blocs y Cuadernos,Blocs y Cuadernos > Blocs y Cuadernos,,,,3148950060099,visible,Physical good,,,,,,,Y,5.50,,N,,N,,N,,,0,,,,N,Y
2NMKAYCPQIR6VEWX3K3MXMLL,CANSON_INGRES_50X70,,Normal,,115409J,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,visible,Physical good,,,,N,N,N,Y,2.30,,N,,N,,N,,,76,,,,N,Y
RUOFKF5C7BORPZTFA2MVGVP3,CANSON_INGRES_A3_CUADERNO,,Estándar,,123935M,,Blocs y Cuadernos > Blocs y Cuadernos,Blocs y Cuadernos > Blocs y Cuadernos,,,,8422714007250,visible,Physical good,,,,,,,Y,22.50,,N,,N,,N,,,5,,,,N,Y
5IQZ5Q4SWDGT2EIMOGHTACNY,CANSON_INGRES_A4_CUADERNO,,Estándar,,J314396,,Blocs y Cuadernos > Blocs y Cuadernos,Blocs y Cuadernos > Blocs y Cuadernos,,,,8422714007267,visible,Physical good,,,,,,,Y,14.00,,N,,N,,N,,,5,,,,N,Y
KI6ERX7T7OL67ZIXAAO344TW,CANSON_MARKER_A3_HOJA SUELTA,,Normal,,M137834,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,visible,Physical good,,,,N,N,N,Y,0.40,,N,,N,,N,,,,,,,N,Y
HTBLI7U6L64S463M5HDNZIQN,CANSON_MINIPACK ACUARELA_A3_6HOJAS,,Normal,,339545K,,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de acuarela",Blocs y Cuadernos,,,,8422714023939,,Physical good,,,,N,N,N,Y,8.80,,N,,N,,N,,,12,,,,Y,Y
CHB674MEAC2DJH6H276IDEEU,CANSON_MINIPACK ACUARELA_A4_6HOJAS,,Normal,,6684486,,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de acuarela",Blocs y Cuadernos,,,,3148950064165,,Physical good,,,,N,N,N,Y,4.00,,N,,N,,N,,,10,,,,Y,Y
BC3GOJGUDUYADJPTU7Z2PRM2,CANSON_MITEINTES_50x60_amarillo,,Normal,,Y447226,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,1.50,,N,,N,,N,,,0,,,,N,Y
5KQ5RGHP4L3RDBHHAP4D5C4T,CANSON_MITEINTES_50x60_blanco,,Normal,,958752F,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,1.50,,N,,N,,N,,,23,,,,N,Y
KO73QMCALGQY4U2HO27USUMF,CANSON_MITEINTES_50x60_rosamanecer,,Normal,,369304S,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,1.50,,N,,N,,N,,,22,,,,N,Y
6EPBWEENSLLW5ATFYBVPVGQF,CANSON_MiTEINTES_RojoW&N,,Normal,,8693688,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,,,,Y,1.50,,N,,N,,N,,,12,,,,N,Y
C6NN7HIDRWK2LTZ4YMS3VVMP,CANSON_PAPEL MILIMETRADO_A3_CUADERNO,,Normal,,648979Y,,Blocs y Cuadernos > Blocs y Cuadernos,Blocs y Cuadernos > Blocs y Cuadernos,,,,3148950671097,visible,Physical good,,,,N,N,N,Y,12.90,,N,,N,,N,,,2,,,,N,Y
SZAXJOYFDHPFXJMOA4XZFVKJ,CANSON_PAPEL MILIMITRADO_A4_HOJA SUELTA,,Normal,,6399739,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,visible,Physical good,,,,N,N,N,Y,0.40,,N,,N,,N,,,,,,,N,Y
SQSHZVIRYYO25ID766IAEEBJ,CANSON_PAPEL SUPERALFA_112x76 cm,,,,3319486,Papel de calidad para diversas técnicas artísticas y proyectos creativos.,"Papel y Soportes, Papel y Soportes > Papel de dibujo y boceto",Papel y Soportes,,,,,,Physical good,,,,N,N,N,Y,8.90,,N,,N,,N,,,84,,,,N,Y
LA4I2C52KHZSP6W5XIUIV6GP,CANSON_PAPEL VELVET SOMERSET 56X76_HJ BUF,,Normal,,S459587,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,,Physical good,,,,N,N,N,Y,5.10,,N,,N,,N,,,16,,,,N,Y
7UY23COJ5IP4P4NKOEAOTUED,CANSON_PAPEL VELVET SOMERSET 56X76_HJ SBL,,Normal,,3084658,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,5017379104319,visible,Physical good,,,,N,N,N,Y,5.10,,N,,N,,N,,,8,,,,N,Y
S4P2N7K27FFV4AHBJHHIYI34,CANSON_ROLLO PAPEL BASIK_1.40X20M_150G,,Estándar,,Q163489,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,visible,Physical good,,,,N,N,N,Y,55.90,,N,,N,,N,,,1,,,,N,Y
2J6BSJTBOC2QNZH27J4IJXMJ,CANSON_ROLLO PAPEL CONTINUO_1.30X10M_NEGRO,,,,148075R,Material artístico de calidad para uso profesional y educativo.,"Papel y Soportes, Papel y Soportes > Rollos de papel",Papel y Soportes,,,,3148950050922,,Physical good,,,,N,N,N,Y,33.00,,N,,N,,N,,,1,,,,N,Y
GWJ2D3OJ3LIMR7EU4QTZGWJ4,CANSON_TORREON_100X70,,Normal,,4109272,,Papel y Soportes > Papel suelto,Papel y Soportes > Papel suelto,,,,,visible,Physical good,,,,N,N,N,Y,1.00,,N,,N,,N,,,78,,,,N,Y
6CGTCI4SNDBYX736BR7EK6CN,CANSON_VERJURADO T_A4_CUADERNO,,Estándar,,420606A,Cuaderno Canson Verjurado T A4 con papel de calidad para escritura artística y bocetos.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,8422714006840,visible,Physical good,,,,N,N,N,Y,6.00,,N,,N,,N,,,1,,,,N,Y
ZLN723L24YJI7M23EJO6IU2K,CANSON_XL ACUARELA_A3_CUADERNO,,Estándar,,N587098,Bloc de acuarela Canson XL A3 con papel de alta gramaje para técnicas húmedas y lavados.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de acuarela",Blocs y Cuadernos,,,,3148950074980,visible,Physical good,,,,N,N,N,Y,16.50,,N,,N,,N,,,0,,,,N,Y
KXRFRY47TWD5R4663JTHB5EP,CANSON_XL ACUARELA_A4_CUADERNO,,Normal,,Z093744,Bloc de acuarela Canson XL A4 con papel de alta gramaje para técnicas húmedas y lavados.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de acuarela",Blocs y Cuadernos,,,,3148950002020,visible,Physical good,,,,,,,Y,8.00,,N,,N,,N,,,0,,,,Y,N
VMQ2AQWWHCC5YD5KIQAK2RTQ,CANSON_XL ACUARELA_A5_CUADERNO,,Article de base,,G439220,Bloc de acuarela Canson XL A5 con papel de alta gramaje para técnicas húmedas y lavados.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de acuarela",Blocs y Cuadernos,,,,3148950121660,,Physical good,,,,N,N,N,Y,4.70,,N,,N,,N,,,0,,,,Y,N
CZTYOOHMWO326HD7YUU57INJ,CANSON_XL BRISTOL_A3_CUADERNO,,Normal,,8318531,"Cuaderno Canson XL Bristol A3 con papel liso de alta calidad para dibujo, marcadores y rotuladores.","Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148950033529,,Physical good,,,,,,,Y,14.60,,N,,N,,N,,,7,,,,Y,N
7KSFQLE44GET2Y55POFHEGIS,CANSON_XL BRISTOL_A3_HOJA SUELTA,,Normal,,981725L,"Papel de dibujo de calidad para bocetos, técnica y uso artístico general.","Papel y Soportes, Papel y Soportes > Papel de dibujo y boceto",Papel y Soportes,,,,,visible,Physical good,,,,,,,Y,0.35,,N,,N,,N,,,,,,,N,Y
IOXBM3POWKWLR63WO3EDCYVZ,CANSON_XL BRISTOL_A4_CUADERNO,,A4 (B08V85PTPV),,415090J,Bloc de dibujo y sketching con papel de calidad para artistas y estudiantes.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148950033505,,Physical good,,,,N,N,N,Y,8.60,,N,,N,,N,,,0,,Y,1,Y,N
U4DEKDPRVD2ADR2NJYNQFF5U,CANSON_XL KRAFT_A3_CUADERNO,,Normal,,617920M,Bloc de dibujo y sketching con papel de calidad para artistas y estudiantes.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148950074928,visible,Physical good,,,,N,N,N,Y,16.50,,N,,N,,N,,,2,,Y,3,N,Y
GNEO7B5UUHGL3MAEKKVC4ZCU,CANSON_XL KRAFT_A4_CUADERNO,,Normal,,8029863,Bloc de dibujo y sketching con papel de calidad para artistas y estudiantes.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148950074898,visible,Physical good,,,,N,N,N,Y,9.45,,N,,N,,N,,,3,,,,Y,N
VYW3SZKKEPE3OP75BOADUJHB,CANSON_XL MARKER_A3_CUADERNO,,Normal,,748408Q,Bloc Canson XL Marker A3 con papel liso de alta calidad especial para rotuladores y marcadores.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148952972376,visible,Physical good,,,,N,N,N,Y,16.50,,N,,N,,N,,,6,,,,N,Y
PJ2AGHDCLFJZ3CBGXT7RLSIO,CANSON_XL MIXMEDIA FLUID_A3_CUADERNO,,Normal,,L909012,Bloc Canson XL MixMedia Fluid A3 para técnicas mixtas en seco y húmedo con papel de alta calidad.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148950027160,visible,Physical good,,,,N,N,N,Y,16.50,,N,,N,,N,,,-1,,,,N,Y
YSGH2UEBWZQJ4AAZA7S2IAM3,CANSON_XL MIXMEDIA FLUID_A4_CUADERNO,,Normal,,180211C,Bloc Canson XL MixMedia Fluid A4 para técnicas mixtas en seco y húmedo con papel de alta calidad.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148950027146,visible,Physical good,,,,N,N,N,Y,9.45,,N,,N,,N,,,4,,,,N,Y
2FATSTQXNRXXW6CH4DUWNL7T,CANSON_XL MIXMEDIA TEXTURED_A3_CUADERNO,,Normal,,203793F,Bloc Canson XL MixMedia Textured A3 con papel de textura para técnicas mixtas y técnicas en seco.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148950117922,visible,Physical good,,,,N,N,N,Y,16.30,,N,,N,,N,,,-1,,,,N,Y
SSYGQZQAGTLZRQT7ZIIY3ZUE,CANSON_XL MIXMEDIA TEXTURED_A4_CUADERNO,,Normal,,H702854,Bloc Canson XL MixMedia Textured A4 con papel de textura para técnicas mixtas y técnicas en seco.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148958072155,,Physical good,,,,N,N,N,Y,9.45,,N,,N,,N,,,1,,,,N,Y
IZSXNVXWX2WVJWXIDFP4UNDU,CANSON_XL OLEO ACRILICO_A3_CUADERNO,,Normal,,3141448,Bloc Canson XL Óleo y Acrílico A3 con papel de alta gramaje para técnicas al óleo y acrílico.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148950021625,visible,Physical good,,,,N,N,N,Y,16.50,,N,,N,,N,,,0,,,,N,Y
66YIFMQ5IX2NDMF3C33U4EBY,CANSON_XL OLEO ACRILICO_A4_CUADERNO,,Normal,,5721856,Bloc Canson XL Óleo y Acrílico A4 con papel de alta gramaje para técnicas al óleo y acrílico.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148950021595,visible,Physical good,,,,,,,Y,9.45,,N,,N,,N,,,4,,,,Y,N
T5DA7JTJCEUS4Z5CEYLBWFS7,CANSON_XL RECYCLEE_A4_CUADERNO,,Normal,,,Bloc Canson XL Recyclée A4 con papel reciclado de calidad para bocetos y dibujo artístico.,"Blocs y Cuadernos, Blocs y Cuadernos > Blocs de dibujo y sketching",Blocs y Cuadernos,,,,3148957771288,visible,Physical good,,,,N,N,N,Y,7.90,,N,,N,,N,,,2,,,,Y,N
